"","week","cases"
"1",2001.84383561644,0
"2",2001.86301369863,0
"3",2001.88219178082,1
"4",2001.90136986301,1
"5",2001.92054794521,1
"6",2001.9397260274,2
"7",2001.95890410959,4
"8",2001.97808219178,1
"9",2002,4
"10",2002.01917808219,11
"11",2002.03835616438,16
"12",2002.05753424658,23
"13",2002.07671232877,12
"14",2002.09589041096,14
"15",2002.11506849315,18
"16",2002.13424657534,8
"17",2002.15342465753,7
"18",2002.17260273973,10
"19",2002.19178082192,7
"20",2002.21095890411,10
"21",2002.2301369863,5
"22",2002.24931506849,11
"23",2002.26849315068,8
"24",2002.28767123288,18
"25",2002.30684931507,13
"26",2002.32602739726,9
"27",2002.34520547945,22
"28",2002.36438356164,10
"29",2002.38356164384,5
"30",2002.40273972603,13
"31",2002.42191780822,2
"32",2002.44109589041,11
"33",2002.4602739726,11
"34",2002.47945205479,3
"35",2002.49863013699,7
"36",2002.51780821918,7
"37",2002.53698630137,4
"38",2002.55616438356,5
"39",2002.57534246575,6
"40",2002.59452054795,7
"41",2002.61369863014,7
"42",2002.63287671233,4
"43",2002.65205479452,9
"44",2002.67123287671,17
"45",2002.6904109589,8
"46",2002.7095890411,22
"47",2002.72876712329,18
"48",2002.74794520548,21
"49",2002.76712328767,16
"50",2002.78630136986,31
"51",2002.80547945205,25
"52",2002.82465753425,28
"53",2002.84383561644,26
"54",2002.86301369863,18
"55",2002.88219178082,27
"56",2002.90136986301,11
"57",2002.92054794521,38
"58",2002.9397260274,29
"59",2002.95890410959,21
"60",2002.97808219178,11
"61",2003,10
"62",2003.01917808219,5
"63",2003.03835616438,6
"64",2003.05753424658,2
"65",2003.07671232877,1
"66",2003.09589041096,2
"67",2003.11506849315,2
"68",2003.13424657534,3
"69",2003.15342465753,5
"70",2003.17260273973,1
"71",2003.19178082192,4
"72",2003.21095890411,2
"73",2003.2301369863,4
"74",2003.24931506849,0
"75",2003.26849315068,0
"76",2003.28767123288,0
"77",2003.30684931507,0
"78",2003.32602739726,1
"79",2003.34520547945,1
"80",2003.36438356164,1
"81",2003.38356164384,1
"82",2003.40273972603,1
"83",2003.42191780822,2
"84",2003.44109589041,3
"85",2003.4602739726,4
"86",2003.47945205479,6
"87",2003.49863013699,2
"88",2003.51780821918,2
"89",2003.53698630137,5
"90",2003.55616438356,1
"91",2003.57534246575,1
"92",2003.59452054795,0
"93",2003.61369863014,0
"94",2003.63287671233,0
"95",2003.65205479452,0
"96",2003.67123287671,2
"97",2003.6904109589,0
"98",2003.7095890411,3
"99",2003.72876712329,0
"100",2003.74794520548,0
"101",2003.76712328767,0
"102",2003.78630136986,2
"103",2003.80547945205,2
"104",2003.82465753425,3
"105",2003.84383561644,3
"106",2003.86301369863,3
"107",2003.88219178082,1
"108",2003.90136986301,2
"109",2003.92054794521,3
"110",2003.9397260274,6
"111",2003.95890410959,5
"112",2003.97808219178,1
"113",2004,4
"114",2004.01912568306,5
"115",2004.03825136612,8
"116",2004.05737704918,5
"117",2004.07650273224,2
"118",2004.0956284153,3
"119",2004.11475409836,3
"120",2004.13387978142,1
"121",2004.15300546448,6
"122",2004.17213114754,4
"123",2004.1912568306,1
"124",2004.21038251366,2
"125",2004.22950819672,3
"126",2004.24863387978,1
"127",2004.26775956284,8
